tahun,topic_id,n_docs,n_total,proporsi,label_topik
2016,34,15,881,0.0170261066969353,Topik_34
2016,35,4,881,0.004540295119182747,Topik_35
2016,36,9,881,0.01021566401816118,Topik_36
2016,37,1,881,0.0011350737797956867,Topik_37
2016,38,11,881,0.012485811577752554,Topik_38
2016,39,9,881,0.01021566401816118,Topik_39
2016,40,5,881,0.0056753688989784334,Topik_40
2016,41,14,881,0.015891032917139614,Topik_41
2016,42,1,881,0.0011350737797956867,Topik_42
2016,43,8,881,0.009080590238365494,Topik_43
2016,44,5,881,0.0056753688989784334,Topik_44
2016,45,4,881,0.004540295119182747,Topik_45
2016,46,4,881,0.004540295119182747,Topik_46
2016,47,5,881,0.0056753688989784334,Topik_47
2016,48,13,881,0.014755959137343927,Topik_48
2016,49,7,881,0.007945516458569807,Topik_49
2016,50,2,881,0.0022701475595913734,Topik_50
2016,51,3,881,0.00340522133938706,Topik_51
2016,52,5,881,0.0056753688989784334,Topik_52
2016,53,4,881,0.004540295119182747,Topik_53
2016,54,7,881,0.007945516458569807,Topik_54
2016,55,2,881,0.0022701475595913734,Topik_55
2016,56,8,881,0.009080590238365494,Topik_56
2016,57,9,881,0.01021566401816118,Topik_57
2016,58,10,881,0.011350737797956867,Topik_58
2016,59,1,881,0.0011350737797956867,Topik_59
2016,60,6,881,0.00681044267877412,Topik_60
2016,61,2,881,0.0022701475595913734,Topik_61
2016,62,4,881,0.004540295119182747,Topik_62
2016,63,5,881,0.0056753688989784334,Topik_63
2016,64,2,881,0.0022701475595913734,Topik_64
2016,65,3,881,0.00340522133938706,Topik_65
2016,66,7,881,0.007945516458569807,Topik_66
2016,67,2,881,0.0022701475595913734,Topik_67
2016,68,3,881,0.00340522133938706,Topik_68
2016,69,3,881,0.00340522133938706,Topik_69
2016,70,3,881,0.00340522133938706,Topik_70
2016,71,2,881,0.0022701475595913734,Topik_71
2016,73,4,881,0.004540295119182747,Topik_73
2016,74,2,881,0.0022701475595913734,Topik_74
2016,75,1,881,0.0011350737797956867,Topik_75
2016,76,1,881,0.0011350737797956867,Topik_76
2016,77,5,881,0.0056753688989784334,Topik_77
2016,78,3,881,0.00340522133938706,Topik_78
2016,79,7,881,0.007945516458569807,Topik_79
2016,80,7,881,0.007945516458569807,Topik_80
2016,81,3,881,0.00340522133938706,Topik_81
2016,82,1,881,0.0011350737797956867,Topik_82
2016,83,1,881,0.0011350737797956867,Topik_83
2016,85,3,881,0.00340522133938706,Topik_85
2016,86,1,881,0.0011350737797956867,Topik_86
2016,87,2,881,0.0022701475595913734,Topik_87
2016,88,1,881,0.0011350737797956867,Topik_88
2016,89,3,881,0.00340522133938706,Topik_89
2016,90,11,881,0.012485811577752554,Topik_90
2016,91,2,881,0.0022701475595913734,Topik_91
2016,93,4,881,0.004540295119182747,Topik_93
2016,94,3,881,0.00340522133938706,Topik_94
2016,95,1,881,0.0011350737797956867,Topik_95
2016,97,2,881,0.0022701475595913734,Topik_97
2016,98,3,881,0.00340522133938706,Topik_98
2016,99,4,881,0.004540295119182747,Topik_99
2016,100,2,881,0.0022701475595913734,Topik_100
2016,101,2,881,0.0022701475595913734,Topik_101
2016,102,2,881,0.0022701475595913734,Topik_102
2016,103,1,881,0.0011350737797956867,Topik_103
2016,104,8,881,0.009080590238365494,Topik_104
2016,105,1,881,0.0011350737797956867,Topik_105
2017,0,118,1320,0.0893939393939394,Topik_0
2017,1,42,1320,0.031818181818181815,Topik_1
2017,2,62,1320,0.04696969696969697,Topik_2
2017,3,52,1320,0.03939393939393939,Topik_3
2017,4,27,1320,0.020454545454545454,Topik_4
2017,5,17,1320,0.012878787878787878,Topik_5
2017,6,57,1320,0.04318181818181818,Topik_6
2017,7,14,1320,0.010606060606060607,Topik_7
2017,8,19,1320,0.014393939393939395,Topik_8
2017,9,24,1320,0.01818181818181818,Topik_9
2017,10,18,1320,0.013636363636363636,Topik_10
2017,11,22,1320,0.016666666666666666,Topik_11
2017,12,19,1320,0.014393939393939395,Topik_12
2017,13,19,1320,0.014393939393939395,Topik_13
2017,14,18,1320,0.013636363636363636,Topik_14
2017,15,14,1320,0.010606060606060607,Topik_15
2017,16,18,1320,0.013636363636363636,Topik_16
2017,17,5,1320,0.003787878787878788,Topik_17
2017,18,27,1320,0.020454545454545454,Topik_18
2017,19,17,1320,0.012878787878787878,Topik_19
2017,20,16,1320,0.012121212121212121,Topik_20
2017,21,15,1320,0.011363636363636364,Topik_21
2017,22,1,1320,0.0007575757575757576,Topik_22
2017,24,11,1320,0.008333333333333333,Topik_24
2017,25,7,1320,0.005303030303030303,Topik_25
2017,26,38,1320,0.02878787878787879,Topik_26
2017,27,13,1320,0.009848484848484848,Topik_27
2017,28,9,1320,0.006818181818181818,Topik_28
2017,29,12,1320,0.00909090909090909,Topik_29
2017,30,4,1320,0.0030303030303030303,Topik_30
2017,31,20,1320,0.015151515151515152,Topik_31
2017,32,14,1320,0.010606060606060607,Topik_32
2017,33,10,1320,0.007575757575757576,Topik_33
2017,34,10,1320,0.007575757575757576,Topik_34
2017,35,11,1320,0.008333333333333333,Topik_35
2017,36,12,1320,0.00909090909090909,Topik_36
2017,37,17,1320,0.012878787878787878,Topik_37
2017,38,17,1320,0.012878787878787878,Topik_38
